Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Materials.csv_Open,S&P 500 Materials.csv_High,S&P 500 Materials.csv_Low,S&P 500 Materials.csv_Close,S&P 500 Materials.csv_Volume,S&P 500 Materials.csv_Dividends,S&P 500 Materials.csv_Stock Splits,S&P 500 Materials.csv_Capital Gains
2013.10.10,2013.10.10,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,0.0,745721.72,745721.72,26.82,1054335.88,1054362.56,53.64,2605959.05,2606012.41,1060921.11,33.93272548857436,34.23980674533117,33.85191219781323,34.1832389831543,5424700,0.0,0.0,0.0
2013.10.11,2013.10.11,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,0.0,604297.53,604297.53,1227.28,911548.04,912775.32,2454.55,2191518.45,2193973.01,929950.18,34.19133101009148,34.39335966703024,34.070112582843166,34.385276794433594,5060300,0.0,0.0,0.0
2013.10.14,2013.10.14,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,0.0,1448960.56,1448960.56,14.38,1794091.73,1794105.36,28.76,4925072.71,4925101.47,1799332.16,34.11050757882452,34.54689008821063,34.11050757882452,34.50648498535156,6160300,0.0,0.0,0.0
2013.10.15,2013.10.15,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,0.0,919438.79,919438.79,6.007,1354127.8,1354132.54,12.01,3449262.95,3449275.6,1359991.36,34.39335122574075,34.554971645454515,34.21556506480132,34.2963752746582,5367200,0.0,0.0,0.0
2013.10.16,2013.10.16,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,0.0,1138420.36,1138420.36,235.95,1589149.2,1589386.07,471.91,4898911.01,4899381.69,1598877.72,34.50649330797566,34.74892706631442,34.377195098014155,34.64387130737305,4270800,0.0,0.0,0.0
2013.10.17,2013.10.17,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,0.0,1040448.58,1040448.58,537.22,1369294.78,1369832.16,1074.45,3382888.4,3383961.59,1375467.58,34.53073189735386,35.1287379782449,34.53073189735386,35.096412658691406,4641000,0.0,0.0,0.0
2013.10.18,2013.10.18,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,0.0,992401.01,992401.01,0.0,1422913.42,1422913.42,0.0,4241389.7,4241389.7,1425728.74,35.322680921307885,35.322680921307885,35.03984210448632,35.20146560668945,7404800,0.0,0.0,0.0
2013.10.21,2013.10.21,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,0.0,1688864.61,1688864.61,8.714,2127261.75,2127269.47,17.43,5397263.59,5397280.94,2152916.92,35.225726670737664,35.26613179696558,35.06410308311247,35.19340133666992,3899100,0.0,0.0,0.0
2013.10.22,2013.10.22,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,0.0,2112998.02,2112998.02,9.135,2615901.68,2615909.8,18.27,6431545.31,6431563.58,2635433.38,35.379248571578195,35.78330578443847,35.35500612527438,35.70249557495117,5519100,0.0,0.0,0.0
2013.10.23,2013.10.23,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,0.0,2163191.37,2163191.37,0.0,2751226.31,2751226.31,0.0,7961268.65,7961268.65,2782841.19,35.557040371996,35.58128282214531,35.41966237753341,35.46814727783203,5391100,0.0,0.0,0.0
2013.10.24,2013.10.24,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,0.0,2145668.52,2145668.52,2396.83,2593896.13,2596292.96,4793.66,10059904.82,10064698.48,2661721.4,35.50856537526721,35.67018896170087,35.31461953771762,35.64594650268555,3241300,0.0,0.0,0.0
