Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,energy_Open,energy_High,energy_Low,energy_Close,energy_Adj Close,energy_Volume,energy_log_return,energy_realized_volatility,min_1k_count,pessimistic_doubtful,angry,fearful_concerned,euphoric_excited,bearish,bullish,happy,sad,mistrustful,positive,annoyed_frustrated,optimistic,negative,1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,active_count
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86044,9.655026834263063,70.36000061035156,72.02999877929688,70.29000091552734,71.81999969482422,53.67673110961914,16803100,0.0209645081936482,0.5043725074796392,1695,490.0,246.0,750.0,1016.0,473.0,718.0,381.0,85.0,51.0,4064.0,39.0,1819.0,7174.0,130.523483659295,113.220636667343,91.0206493187756,134.755484047986,98.6386310219325,99.4075138187384,1002339
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.8858,9.547511649925353,71.9000015258789,72.26000213623047,71.5999984741211,71.97000122070312,53.788841247558594,10660800,0.0020863979322287,0.5038208558565719,1695,545.0,351.0,849.0,1125.0,1023.0,1101.0,450.0,117.0,55.0,4884.0,65.0,1942.0,8828.0,147.239687378928,154.055408339143,92.783973598268,152.411442111004,105.102550508768,102.751776280637,1112359
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402,9.665512049622908,72.2300033569336,72.72000122070312,72.08000183105469,72.5999984741211,54.25967025756836,8631100,0.0087155183321447,0.4993221574807517,1690,364.0,122.0,522.0,681.0,283.0,635.0,284.0,49.0,43.0,3191.0,16.0,1463.0,4586.0,157.346668666191,191.680761436577,94.2015900844049,153.424917869553,110.035579700931,105.009674234878,912381
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488,9.63984291874555,72.61000061035156,72.63999938964844,72.20999908447266,72.36000061035156,54.08032989501953,10855300,-0.0033112318511099,0.4915561200285048,1689,327.0,139.0,522.0,619.0,256.0,513.0,282.0,44.0,30.0,3114.0,22.0,1539.0,4777.0,157.970550633703,191.02258545039,94.3897061879388,155.95591751349,110.567197907704,105.168676251944,1032410
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732,9.579837657208852,72.3499984741211,72.47000122070312,72.22000122070312,72.47000122070312,54.16252899169922,7966800,0.0015190310034194,0.4871127136566023,1688,339.0,138.0,530.0,686.0,355.0,516.0,263.0,47.0,34.0,3183.0,30.0,1678.0,4892.0,162.530695655776,197.962367947452,94.9055289237103,161.994225417029,112.49854347041,105.992324097487,1003647
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299,9.57080811415361,72.66000366210938,72.69999694824219,72.13999938964844,72.26000213623047,54.00559997558594,7356400,-0.0029019446828382,0.4511159332656783,1684,285.0,94.0,491.0,607.0,241.0,467.0,255.0,43.0,33.0,2914.0,20.0,1470.0,4337.0,161.568359211425,156.854129426228,94.9500922382101,160.195130168408,112.53030320571,106.089033059948,1094021
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693,9.594169092476982,72.62000274658203,73.52999877929688,72.38999938964844,73.44999694824219,54.89496612548828,14891400,0.0163341057885002,0.4845319386109836,1675,301.0,117.0,368.0,672.0,276.0,707.0,315.0,45.0,34.0,3212.0,22.0,1431.0,4272.0,158.069709816145,126.554161683436,95.7734008803586,162.728647321088,115.041354663706,107.23264196025,1142465
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.0012,9.626126699245653,73.5999984741211,74.73999786376953,73.5199966430664,74.55000305175781,55.71708679199219,19299600,0.0148652210753583,0.5194455887584529,1676,347.0,121.0,406.0,686.0,242.0,616.0,412.0,34.0,48.0,3418.0,24.0,1624.0,4416.0,159.963118662144,135.814971154986,96.1212344027433,165.800325166993,115.853879469009,107.780991088264,1132590
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859,9.625337901843494,74.5,75.05000305175781,74.2300033569336,75.0,56.05339431762695,14306800,0.0060180313898454,0.5221257570084797,1675,351.0,134.0,467.0,754.0,257.0,635.0,309.0,67.0,51.0,3474.0,30.0,1639.0,5020.0,159.779777542896,117.356427576,95.9915600842798,164.379283506711,115.856539595596,107.787100119381,1253391
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91468,9.736724334658026,74.9000015258789,75.02999877929688,74.3499984741211,74.97000122070312,56.030967712402344,14204400,-0.0004000637387848,0.4955312128206717,1673,321.0,152.0,505.0,771.0,298.0,795.0,303.0,35.0,42.0,3664.0,26.0,1584.0,4915.0,161.542509720511,126.219143982951,95.7224133415427,142.425876312775,116.531306690461,108.224370610856,1068521
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994,9.61580481341746,74.94000244140625,75.45999908447266,74.73999786376953,75.41999816894531,56.367286682128906,9779200,0.00598441775458,0.4998854114414051,1666,297.0,119.0,554.0,667.0,346.0,571.0,247.0,57.0,18.0,3099.0,20.0,1406.0,4469.0,145.967785945825,118.469348396079,94.6998899281719,131.206485514009,118.478538368064,109.169468549804,1158246
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469,9.575227205861887,75.56999969482422,75.58999633789062,75.11000061035156,75.2300033569336,56.225311279296875,9234500,-0.0025223353577032,0.4874904880771276,1674,325.0,139.0,540.0,644.0,266.0,562.0,264.0,45.0,43.0,3165.0,15.0,1492.0,4568.0,145.293242223282,118.208230911167,94.7222260802626,124.49410999823,118.762269995054,109.330585055675,1150316
