Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,consumer_Open,consumer_High,consumer_Low,consumer_Close,consumer_Adj Close,consumer_Volume,consumer_log_return,consumer_realized_volatility,min_1k_count,pessimistic_doubtful,angry,fearful_concerned,euphoric_excited,bearish,bullish,happy,sad,mistrustful,positive,annoyed_frustrated,optimistic,negative,1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,active_count
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86044,9.655026834263063,98.66000366210938,99.38999938964844,98.58000183105467,99.16999816894533,93.1532974243164,2359900,0.006474472789006,0.296378666679898,1695,490.0,246.0,750.0,1016.0,473.0,718.0,381.0,85.0,51.0,4064.0,39.0,1819.0,7174.0,130.523483659295,113.220636667343,91.0206493187756,134.755484047986,98.6386310219325,99.4075138187384,1002339
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.8858,9.547511649925353,99.04000091552734,99.04000091552734,98.79000091552734,98.9800033569336,92.97482299804688,3221900,-0.0019176872952266,0.2956355723457725,1695,545.0,351.0,849.0,1125.0,1023.0,1101.0,450.0,117.0,55.0,4884.0,65.0,1942.0,8828.0,147.239687378928,154.055408339143,92.783973598268,152.411442111004,105.102550508768,102.751776280637,1112359
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402,9.665512049622908,98.86000061035156,99.30999755859376,98.86000061035156,99.1999969482422,93.18146514892578,1498000,0.002220140088128,0.2968098991036206,1690,364.0,122.0,522.0,681.0,283.0,635.0,284.0,49.0,43.0,3191.0,16.0,1463.0,4586.0,157.346668666191,191.680761436577,94.2015900844049,153.424917869553,110.035579700931,105.009674234878,912381
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488,9.63984291874555,99.37999725341795,99.38999938964844,98.91000366210938,99.0,92.99356842041016,1866900,-0.002018133392549,0.2635138227004304,1689,327.0,139.0,522.0,619.0,256.0,513.0,282.0,44.0,30.0,3114.0,22.0,1539.0,4777.0,157.970550633703,191.02258545039,94.3897061879388,155.95591751349,110.567197907704,105.168676251944,1032410
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732,9.579837657208852,99.3499984741211,99.3499984741211,99.05999755859376,99.2699966430664,93.24720001220705,4195800,0.002723526650846,0.2602279580810313,1688,339.0,138.0,530.0,686.0,355.0,516.0,263.0,47.0,34.0,3183.0,30.0,1678.0,4892.0,162.530695655776,197.962367947452,94.9055289237103,161.994225417029,112.49854347041,105.992324097487,1003647
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299,9.57080811415361,99.3000030517578,99.43000030517578,98.62000274658205,98.69000244140624,92.7024154663086,2630600,-0.0058597278633882,0.2628087481507975,1684,285.0,94.0,491.0,607.0,241.0,467.0,255.0,43.0,33.0,2914.0,20.0,1470.0,4337.0,161.568359211425,156.854129426228,94.9500922382101,160.195130168408,112.53030320571,106.089033059948,1094021
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693,9.594169092476982,99.11000061035156,100.19000244140624,99.11000061035156,100.19000244140624,94.11140441894533,4895600,0.0150847587168874,0.3242947146373917,1675,301.0,117.0,368.0,672.0,276.0,707.0,315.0,45.0,34.0,3212.0,22.0,1431.0,4272.0,158.069709816145,126.554161683436,95.7734008803586,162.728647321088,115.041354663706,107.23264196025,1142465
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.0012,9.626126699245653,100.29000091552734,100.7300033569336,100.2699966430664,100.6500015258789,94.54348754882812,5319000,0.004580759607113,0.2956451500356663,1676,347.0,121.0,406.0,686.0,242.0,616.0,412.0,34.0,48.0,3418.0,24.0,1624.0,4416.0,159.963118662144,135.814971154986,96.1212344027433,165.800325166993,115.853879469009,107.780991088264,1132590
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859,9.625337901843494,101.04000091552734,101.11000061035156,100.45999908447266,100.9800033569336,94.85347747802734,3457400,0.0032733434282699,0.289593379693036,1675,351.0,134.0,467.0,754.0,257.0,635.0,309.0,67.0,51.0,3474.0,30.0,1639.0,5020.0,159.779777542896,117.356427576,95.9915600842798,164.379283506711,115.856539595596,107.787100119381,1253391
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91468,9.736724334658026,101.43000030517578,101.83000183105467,101.1999969482422,101.77999877929688,95.60491943359376,4294400,0.0078910984928226,0.2950138805840681,1673,321.0,152.0,505.0,771.0,298.0,795.0,303.0,35.0,42.0,3664.0,26.0,1584.0,4915.0,161.542509720511,126.219143982951,95.7224133415427,142.425876312775,116.531306690461,108.224370610856,1068521
