time,high,low,open,volumefrom,volumeto,close,conversionType,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2013.6.6,123.3,117,121.9,21921.97,2623564.82,118.97,direct,0,0,0,0,72565.75,72565.75,0,678371.7,678371.7,72565.75
2013.6.7,119.13,106.15,118.97,65643.28,7357062.32,111,direct,0,0,0,0,51664.95,51664.95,0,1479197.1,1479197.1,51664.95
2013.6.8,113.19,107,111,17113.57,1862090.61,107.89,direct,0,0,0,0,30641.84,30641.84,0,544904.92,544904.92,30641.84
2013.6.9,108.99,88,107.89,149250.92,14628128.89,100.44,direct,0,0,0,0,45316.52,45316.52,0,2663435.78,2663435.78,45316.52
2013.6.10,110.63,95,100.44,64125.61,6764668.73,106.35,direct,0,0,0,0,56151.74,56151.74,0,838584.64,838584.64,56151.74
2013.6.11,109.6,103.23,106.35,15933.45,1704624.52,109,direct,0,0,0,0,72795.65,72795.65,0,485855.51,485855.51,72795.65
2013.6.12,112.25,106,109,17540.54,1916593.99,108.78,direct,0,0.5439,0.5439,0,44171.21,44171.21,0,424916.44,424916.44,44171.21
2013.6.13,110.3,100.3,108.78,30276.66,3186391.58,103.95,direct,0,0.6237,0.6237,0,76030.07,76030.07,0,893874.37,893874.37,76030.07
2013.6.14,104.7,97.1,103.95,35923.53,3615245.12,99.99,direct,0,6.999,6.999,0,48390.16,48390.16,0,525731.42,525731.42,48390.16
2013.6.15,103.7,97.5,99.99,22476.84,2257850.79,99.8,direct,0,0,0,0,25436.03,25436.03,0,505438.1,505438.1,25436.03
2013.6.16,101.75,98.9,99.8,8619.58,861313.23,99.9,direct,0,0,0,0,20223.76,20223.76,0,208650.14,208650.14,20223.76
2013.6.17,102.4,98.9,99.9,15024.77,1516435.36,101.95,direct,0,0,0,0,60422.71,60422.71,0,457643.36,457643.36,60422.71
2013.6.18,113.3,101.03,101.95,60446.31,6491826.47,107.35,direct,0,0,0,0,68569.81,68569.81,0,716011.62,716011.62,68569.81
