공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/07/05,203450,유니온커뮤니티,KOSDAQ,신탁,취득,2018/07/05,2019/01/07,0,1000000000,301658.0,0.0,846515960.0
2018/07/05,078070,유비쿼스홀딩스,KOSDAQ,신탁,취득,2018/07/13,2019/07/12,0,2000000000,81759.0,0.0,448686225.0
2018/07/05,203450,유니온커뮤니티,KOSDAQ,신탁,취득,2018/07/05,2020/01/06,0,1000000000,26059.0,0.0,69937410.0
2018/07/06,095500,미래나노텍,KOSDAQ,신탁,취득,2018/07/06,2019/01/06,0,5000000000,1227133.0,0.0,4986405670.0
2018/07/06,102460,이연제약,KOSPI,신탁,취득,2018/07/06,2019/01/05,0,5000000000,240840.0,0.0,4975645450.0
2018/07/09,102120,어보브반도체,KOSDAQ,신탁,취득,2018/07/09,2019/01/08,0,1800000000,300000.0,0.0,1633235600.0
2018/07/09,149950,아바텍,KOSDAQ,직접,취득,2018/07/10,2018/10/08,348432,2000000000,300908.0,86.36,1999022530.0
2018/07/09,140410,메지온,KOSDAQ,직접,처분,2018/07/10,2018/07/10,150000,8325000000,150000.0,100.0,8325000000.0
2018/07/10,054950,제이브이엠,KOSDAQ,직접,취득,2018/07/11,2018/10/10,37313,1500000000,37313.0,100.0,1531029600.0
2018/07/11,002840,미원상사,KOSPI,직접,취득,2018/07/13,2018/10/12,1856,452864000,1856.0,100.0,462541500.0
2018/07/11,078150,HB테크놀러지,KOSDAQ,신탁,취득,2018/07/11,2019/01/11,0,2000000000,688345.0,0.0,1776665015.0
2018/07/12,069640,한세엠케이,KOSPI,신탁,취득,2018/07/12,2019/07/12,0,5000000000,614204.0,0.0,4998883160.0
2018/07/13,060250,NHN KCP,KOSDAQ,신탁,취득,2018/07/13,2019/01/14,0,4000000000,279802.0,0.0,3978119100.0
2018/07/16,900140,엘브이엠씨홀딩스,KOSPI,신탁,취득,2018/07/18,2019/01/18,0,3000000000,776281.0,0.0,2959825765.0
2018/07/17,112040,위메이드,KOSDAQ,신탁,취득,2018/07/18,2019/07/17,0,10000000000,241888.0,0.0,9721344100.0
2018/07/20,214430,아이쓰리시스템,KOSDAQ,직접,취득,2018/07/21,2018/10/20,84000,1503600000,84000.0,100.0,1493127500.0
