stock_code,thstrm_amount_당기순이익,thstrm_amount_매출액,thstrm_amount_영업이익,thstrm_amount_유동자산,frmtrm_amount_당기순이익,frmtrm_amount_매출액,frmtrm_amount_영업이익,frmtrm_amount_유동자산,사업연도,직전분기코드,종목명
003800,"8,530,191,817","55,346,581,940","12,845,136,444","67,818,964,577","3,674,730,608","48,041,360,072","5,704,507,091","72,095,091,251",2018,11012,에이스침대
001040,"19,249,785,000",,"11,410,916,000","112,744,434,000","5,451,175,000",,"7,434,277,000","54,058,009,000",2018,11012,CJ
101490,"1,333,858,699","14,553,511,210","1,216,128,940","34,923,782,037","769,848,105","14,004,731,191","690,361,322","34,926,369,218",2018,11012,에스앤에스텍
203450,"1,855,897,494","9,928,871,906","1,706,430,371","32,801,418,181","742,293,380","8,972,234,882","595,099,469","31,098,667,118",2018,11012,유니온커뮤니티
078070,"1,882,512,979","2,287,119,615","1,211,254,693","6,723,133,561","202,422,633","781,667,052","-213,306,815","7,396,422,774",2018,11012,유비쿼스홀딩스
095500,"-800,820,923","38,788,163,615","-793,330,424","98,229,464,380","-343,147,905","32,125,950,177","392,117,003","91,054,392,370",2018,11012,미래나노텍
102460,"4,206,528,834","31,237,580,662","1,578,064,440","154,644,693,285","3,464,938,711","31,451,732,371","4,111,291,867","151,813,251,499",2018,11012,이연제약
102120,"2,882,248,936","27,756,282,650","2,271,661,822","59,549,647,325","1,457,500,670","28,655,328,908","2,086,861,217","55,816,761,176",2018,11012,어보브반도체
149950,"2,722,325,749","17,741,375,387","1,774,935,736","76,127,705,904","3,614,919,117","22,954,396,729","4,495,291,782","93,202,613,687",2018,11012,아바텍
140410,"-1,883,490,464",,"-1,906,588,119","63,956,615,428","-475,114,492",,"-814,133,820","64,915,159,846",2018,11012,메지온
054950,"2,688,764,530","21,854,742,035","3,098,407,778","62,145,961,135","3,297,326,707","23,334,415,971","5,340,004,100","62,661,127,544",2018,11012,제이브이엠
002840,"5,072,446,600","52,814,718,886","5,513,244,553","88,905,058,409","20,737,148,546","42,881,610,774","2,346,711,846","76,185,830,975",2018,11012,미원상사
078150,"3,664,842,959","71,783,889,907","4,935,879,514","136,004,017,828","16,224,834,454","86,638,142,554","20,308,554,038","123,976,553,569",2018,11012,HB테크놀러지
069640,"6,573,576,011","62,203,859,455","2,450,980,765","122,800,670,566","3,001,774,777","64,160,565,777","3,686,475,945","119,799,652,976",2018,11012,한세엠케이
060250,"3,758,811,686","102,402,466,739","5,448,504,297","142,645,775,942","3,762,784,819","80,711,535,854","5,398,353,998","140,012,403,973",2018,11012,NHN KCP
112040,"8,683,786,556","5,056,010,042","1,119,287,703","132,654,580,638","6,608,135,870","9,550,171,596","3,872,507,454","204,269,898,418",2018,11012,위메이드
214430,"2,253,505,153","16,695,198,181","2,224,320,843","59,497,258,748","2,651,154,214","19,491,220,009","2,748,194,669","49,834,476,577",2018,11012,아이쓰리시스템
122900,"4,499,570,937","592,123,946,058","5,951,357,415","569,437,158,755","3,447,084,851","594,129,615,620","4,418,511,117","582,763,933,339",2018,11012,아이마켓코리아
104460,"2,061,053,603","23,535,832,021","1,837,344,988","60,614,584,840","1,279,609,017","22,226,141,719","827,358,156","62,372,146,684",2018,11012,디와이피엔에프
094170,"162,814,311","13,726,698,046","-452,974,150","30,592,359,200","165,458,233","14,880,348,769","49,657,917","26,721,041,830",2018,11012,동운아나텍
009140,"372,003,748","1,889,629,773","-121,224,776","29,916,429,236","587,310,309","2,064,159,677","-22,635,239","30,342,433,848",2018,11012,경인전자
272290,"5,644,234,043","62,236,714,923","5,526,244,585","163,299,751,763","2,061,665,605","25,837,546,211","2,534,936,658","116,075,951,013",2018,11012,이녹스첨단소재
042500,"-363,100,763","26,054,164,550","161,946,096","71,772,952,264","1,208,898,705","37,952,451,936","1,076,843,452","71,905,682,363",2018,11012,링네트
102210,"-1,333,518,469","8,125,448,617","-324,475,071","129,163,155,205","-598,207,827","7,476,892,170","-7,859,728","116,311,407,368",2018,11012,에이치디
024800,"1,492,458,296","81,796,850,758","1,557,939,937","117,535,429,232","784,098,575","93,103,902,181","1,513,815,122","130,274,131,543",2018,11012,유성티엔에스
089030,"6,003,904,688","45,618,635,141","7,320,284,705","152,018,207,422","1,337,304,653","40,664,673,357","7,426,154,398","170,474,875,036",2018,11012,테크윙
040910,"13,865,933","56,885,745,839","9,604,018,492","130,807,452,319","6,233,524,364","84,116,249,352","8,414,084,152","155,818,686,247",2018,11012,아이씨디
000660,"4,205,829,000,000","10,254,269,000,000","5,479,012,000,000","12,776,977,000,000","2,437,544,000,000","6,657,032,000,000","2,999,379,000,000","15,338,930,000,000",2018,11012,SK하이닉스
091700,"-4,960,355,007","156,970,720,802","4,792,197,833","138,509,006,801","806,723,309","213,074,082,953","3,761,718,248","148,540,840,258",2018,11012,파트론
030200,"209,921,000,000","4,283,030,000,000","307,657,000,000","6,266,657,000,000","160,723,000,000","4,292,582,000,000","301,427,000,000","4,379,568,000,000",2018,11012,KT
140410,"-1,883,490,464",,"-1,906,588,119","63,956,615,428","-475,114,492",,"-814,133,820","64,915,159,846",2018,11012,메지온
151860,"4,941,778,207","26,220,617,764","3,391,277,741","35,195,107,703","2,691,952,755","26,736,347,705","3,093,873,507","40,154,488,037",2018,11012,KG에코솔루션
056190,"35,090,318,659","235,477,392,225","46,451,144,333","581,116,364,417","48,800,295,726","431,494,566,847","65,437,208,350","840,694,836,810",2018,11012,에스에프에이
036570,"152,658,201,644","387,195,995,505","171,572,427,464","1,626,500,948,830","48,576,936,374","210,042,633,842","48,837,983,350","1,669,239,629,302",2018,11012,엔씨소프트
