,Date,log_price,realized_volatility
737,2020-01-16,9.072244291282644,0.5358750768456918
738,2020-01-17,9.09297812277676,0.539854089922845
739,2020-01-17,9.09297812277676,0.539854089922845
740,2020-01-21,9.073132515145899,0.5859970700877166
741,2020-01-21,9.073132515145899,0.5859970700877166
742,2020-01-22,9.065999914177409,0.5985829571493136
743,2020-01-22,9.065999914177409,0.5985829571493136
744,2020-01-23,9.033417018628768,0.5865737519076072
745,2020-01-23,9.033417018628768,0.5865737519076072
746,2020-01-24,9.038618044366219,0.6044457739683674
747,2020-01-24,9.038618044366219,0.6044457739683674
748,2020-01-27,9.093192884316379,0.7006274427543885
749,2020-01-27,9.093192884316379,0.7006274427543885
750,2020-01-28,9.148464968258095,0.7009487309265944
751,2020-01-28,9.148464968258095,0.7009487309265944
752,2020-01-29,9.136605560958413,0.5830672653455458
753,2020-01-29,9.136605560958413,0.5830672653455458
754,2020-01-30,9.159047077588632,0.5873926888125065
755,2020-01-30,9.159047077588632,0.5873926888125065
756,2020-01-31,9.140759827843484,0.7011581352326929
757,2020-01-31,9.140759827843484,0.7011581352326929
758,2020-02-03,9.13648821325326,0.7195954872563969
759,2020-02-03,9.13648821325326,0.7195954872563969
760,2020-02-04,9.122532678010334,0.7143752559625036
761,2020-02-04,9.122532678010334,0.7143752559625036
762,2020-02-05,9.171435289006453,0.8517549091692539
763,2020-02-05,9.171435289006453,0.8517549091692539
764,2020-02-06,9.185497323070836,0.8356840270940362
765,2020-02-06,9.185497323070836,0.8356840270940362
766,2020-02-07,9.190486583371285,0.8352380040806091
767,2020-02-07,9.190486583371285,0.8352380040806091
768,2020-02-10,9.195227749394046,0.8345735709412021
769,2020-02-10,9.195227749394046,0.8345735709412021
770,2020-02-11,9.236882979587088,0.8462201801331374
771,2020-02-11,9.236882979587088,0.8462201801331374
772,2020-02-12,9.244623917349648,0.8627783317962879
773,2020-02-12,9.244623917349648,0.8627783317962879
774,2020-02-13,9.232949840718497,0.8586377325593114
775,2020-02-13,9.232949840718497,0.8586377325593114
776,2020-02-14,9.246097401188255,0.8609690847966914
777,2020-02-14,9.246097401188255,0.8609690847966914
778,2020-02-18,9.228688019734177,0.8634999896933805
779,2020-02-18,9.228688019734177,0.8634999896933805
780,2020-02-19,9.169072444709364,0.8493435877951373
781,2020-02-19,9.169072444709364,0.8493435877951373
782,2020-02-20,9.17084666156254,0.840631601820252
783,2020-02-20,9.17084666156254,0.840631601820252
784,2020-02-21,9.179482115809973,0.8526082235368082
785,2020-02-21,9.179482115809973,0.8526082235368082
786,2020-02-24,9.174980516112335,1.0297865026322286
787,2020-02-24,9.174980516112335,1.0297865026322286
788,2020-02-25,9.138350155793463,1.1218929329288734
789,2020-02-25,9.138350155793463,1.1218929329288734
790,2020-02-26,9.080158791033847,1.1851332406075992
791,2020-02-26,9.080158791033847,1.1851332406075992
792,2020-02-27,9.084380244847978,1.3661856982292455
793,2020-02-27,9.084380244847978,1.3661856982292455
794,2020-02-28,9.071519586573825,1.362499290403077
795,2020-02-28,9.071519586573825,1.362499290403077
796,2020-03-02,9.095752974823695,1.3951351589469914
797,2020-03-02,9.095752974823695,1.3951351589469914
798,2020-03-03,9.077431642599516,1.4393976379471802
799,2020-03-03,9.077431642599516,1.4393976379471802
800,2020-03-04,9.077183766253132,1.4685291038406145
801,2020-03-04,9.077183766253132,1.4685291038406145
802,2020-03-05,9.112358125378995,1.4699887052028735
803,2020-03-05,9.112358125378995,1.4699887052028735
804,2020-03-06,9.121923280159532,1.635554362835758
805,2020-03-06,9.121923280159532,1.635554362835758
806,2020-03-09,8.97919615048466,3.270781515122476
807,2020-03-09,8.97919615048466,3.270781515122476
808,2020-03-10,8.972834169826136,3.3219011689022007
809,2020-03-10,8.972834169826136,3.3219011689022007
810,2020-03-11,8.978984441196006,3.3888205516270604
811,2020-03-11,8.978984441196006,3.3888205516270604
812,2020-03-12,8.485014981519925,3.7780968462922235
813,2020-03-12,8.485014981519925,3.7780968462922235
814,2020-03-13,8.634574368560527,3.9382553243983756
815,2020-03-13,8.634574368560527,3.9382553243983756
816,2020-03-16,8.523854952529716,4.347596564983835
817,2020-03-16,8.523854952529716,4.347596564983835
818,2020-03-17,8.58016611264159,4.3471915623543405
819,2020-03-17,8.58016611264159,4.3471915623543405
820,2020-03-18,8.595434893637261,4.762750830373947
821,2020-03-18,8.595434893637261,4.762750830373947
822,2020-03-19,8.729264470736625,4.834273660612407
823,2020-03-19,8.729264470736625,4.834273660612407
824,2020-03-20,8.73393871895682,4.83348444111609
825,2020-03-20,8.73393871895682,4.83348444111609
826,2020-03-23,8.778558495550499,4.936868237931595
827,2020-03-23,8.778558495550499,4.936868237931595
828,2020-03-24,8.820055459463049,5.249892516089136
829,2020-03-24,8.820055459463049,5.249892516089136
830,2020-03-25,8.808700936641058,5.267773196017357
831,2020-03-25,8.808700936641058,5.267773196017357
832,2020-03-26,8.818884672241081,5.275255004954899
833,2020-03-26,8.818884672241081,5.275255004954899
834,2020-03-27,8.760300925603273,5.348868570900927
835,2020-03-27,8.760300925603273,5.348868570900927
836,2020-03-30,8.765266595469832,5.327057717359909
837,2020-03-30,8.765266595469832,5.327057717359909
838,2020-03-31,8.767350951013762,5.3161484631015234
