Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,industrials_Open,industrials_High,industrials_Low,industrials_Close,industrials_Adj Close,industrials_Volume,industrials_log_return,industrials_realized_volatility
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86044,9.655026834263063,75.5999984741211,75.66999816894531,75.19000244140625,75.37999725341797,67.48356628417969,9456400,0.0007962516652773033,0.42331767086095917
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.8858,9.547511649925351,75.54000091552734,75.54000091552734,75.19999694824219,75.4000015258789,67.50144958496094,3730500,0.0002653438485245019,0.4233308733547501
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402,9.665512049622908,75.48999786376953,75.7300033569336,75.31999969482422,75.4800033569336,67.57307434082031,4983900,0.0010604697237956984,0.4230130500716064
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488,9.63984291874555,75.54000091552734,75.69000244140625,75.44000244140625,75.66000366210938,67.73420715332031,4730300,0.0023819026322415837,0.37885252255501173
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732,9.579837657208852,75.87000274658203,75.87999725341797,75.52999877929688,75.80999755859375,67.8685073852539,4629600,0.00198051025686663,0.363220398706257
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299,9.57080811415361,75.97000122070312,76.0,75.5999984741211,75.66999816894531,67.74317169189453,4825900,-0.00184842135539931,0.2950055097193902
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693,9.594169092476982,75.91999816894531,76.12999725341797,75.56999969482422,76.12000274658203,68.14602661132812,14903900,0.005929322001677839,0.2609657865086852
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.0012,9.626126699245653,76.23999786376953,76.58000183105469,76.05999755859375,76.52999877929688,68.51306915283203,18155000,0.005371726360968054,0.2480107022864676
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859,9.625337901843494,76.86000061035156,77.1500015258789,76.72000122070312,77.08999633789062,69.01441955566406,16483000,0.007290718095650739,0.24167840974921795
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91468,9.736724334658026,77.45999908447266,77.66000366210938,77.02999877929688,77.62000274658203,69.48889923095703,16996200,0.006851638358906342,0.2559436275850095
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994,9.615804813417459,77.69999694824219,77.98999786376953,77.5999984741211,77.94000244140625,69.77537536621094,5727500,0.004114169909000154,0.23409219083833283
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469,9.575227205861887,78.04000091552734,78.63999938964844,78.01000213623047,78.44000244140625,70.22297668457031,8967700,0.006394701217912413,0.24158744345928118
2018-01-10,14403.51,14900.0,13412.0,14890.02,18479.01253,9.608446468860498,78.29000091552734,78.69000244140625,78.05999755859375,78.43000030517578,70.21404266357422,11669500,-0.00012752133701621204,0.240261213670636
2018-01-11,14899.99,14973.07,12800.0,13243.83,19630.07517,9.491287062583547,78.77999877929688,79.45999908447266,78.58000183105469,79.43000030517578,71.10928344726562,9448300,0.012669623371477812,0.28814375163480715
2018-01-12,13249.99,14152.19,12807.27,13781.41,13433.08481,9.531075861539186,79.79000091552734,80.25,79.6500015258789,80.16999816894531,71.77175903320312,7436200,0.009273222728098496,0.30706743884482557
2018-01-16,13581.66,13607.04,10162.0,11386.34,38789.88309,9.340169670298282,80.47000122070312,80.5999984741211,79.08999633789062,79.44999694824219,71.12718963623047,13343700,-0.009021502643535406,0.3159150278715109
2018-01-17,11393.97,11794.07,9222.0,11191.35,41356.18974,9.322896437460773,79.58999633789062,79.97000122070312,79.33999633789062,79.88999938964844,71.5210952758789,7814300,0.005522826282375881,0.32285047913959247
2018-01-18,11199.0,12146.0,10693.0,11247.57,22195.26202,9.327907384301206,79.88999938964844,80.11000061035156,79.38999938964844,79.45999908447266,71.1361312866211,7790400,-0.0053969419894635,0.3176202129697874
2018-01-19,11290.9,12050.39,11025.18,11552.0,13203.25568,9.354613861132608,79.77999877929688,79.79000091552734,79.33000183105469,79.69000244140625,71.3420639038086,8657700,0.0028903991813624685,0.319683714999119
2018-01-22,11558.87,11910.78,10028.41,10808.99,17067.72926,9.288133474260812,79.47000122070312,79.70999908447266,79.0999984741211,79.69000244140625,71.3420639038086,12175300,0.0,0.31692713916319654
2018-01-23,10810.0,11409.87,9927.54,10851.82,17250.17615,9.292088086836984,79.68000030517578,79.80999755859375,79.3499984741211,79.7300033569336,71.37785339355469,8953800,0.000501830572222417,0.3168314002718653
2018-01-24,10848.99,11500.0,10488.13,11400.96,11646.7906,9.341452841363395,79.70999908447266,80.08000183105469,79.16999816894531,79.66000366210938,71.31519317626953,9660000,-0.0008783448929285953,0.31700700313863894
2018-01-25,11400.98,11741.82,10868.57,11155.54,10212.92183,9.319691514480263,79.86000061035156,79.9800033569336,79.06999969482422,79.73999786376953,71.3868179321289,12499200,0.001003691438016041,0.3169776544824361
2018-01-26,11140.01,11635.0,10263.32,11092.95,15074.66641,9.314065050381526,79.9800033569336,80.66000366210938,79.70999908447266,80.66000366210938,72.21044158935547,8008300,0.01147151968376292,0.3470824950605674
2018-01-29,11685.58,11820.01,10991.0,11162.62,9996.356898,9.320325975406925,80.5199966430664,80.95999908447266,80.08999633789062,80.12000274658203,71.72702026367188,12870300,-0.006717289768552348,0.35638055597215873
