Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,composite_Open,composite_High,composite_Low,composite_Close,composite_Adj Close,composite_Volume,composite_log_return,composite_realized_volatility
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86044,9.655026834263063,2683.02001953125,2692.639892578125,2682.39990234375,2684.570068359375,2684.570068359375,3293130000,0.001983687012658386,0.2449987355114786
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.8858,9.547511649925351,2684.219970703125,2685.35009765625,2678.1298828125,2683.340087890625,2683.340087890625,2401030000,-0.00045827163811384963,0.24369640374581086
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402,9.665512049622908,2679.090087890625,2682.739990234375,2677.9599609375,2680.5,2680.5,1970660000,-0.0010589757000589728,0.24401337010443722
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488,9.63984291874555,2682.10009765625,2685.639892578125,2678.909912109375,2682.6201171875,2682.6201171875,2202900000,0.0007906283102423473,0.2106974619241735
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732,9.579837657208852,2686.10009765625,2687.659912109375,2682.68994140625,2687.5400390625,2687.5400390625,2174890000,0.0018323190029194691,0.21190750056521646
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299,9.57080811415361,2689.14990234375,2692.1201171875,2673.610107421875,2673.610107421875,2673.610107421875,2447760000,-0.005196632292747694,0.19653809464998498
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693,9.594169092476982,2683.72998046875,2695.889892578125,2682.360107421875,2695.81005859375,2695.81005859375,3397430000,0.008269078218397397,0.22097697996483662
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.0012,9.626126699245653,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,2713.06005859375,3544030000,0.006378433243936499,0.23476359376198394
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859,9.625337901843494,2719.31005859375,2729.2900390625,2719.070068359375,2723.989990234375,2723.989990234375,3697340000,0.004020542855326603,0.2354824754758634
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91468,9.736724334658026,2731.330078125,2743.449951171875,2727.919921875,2743.14990234375,2743.14990234375,3239280000,0.007009145888585699,0.25149455311529695
