Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,telecommunication_Open,telecommunication_High,telecommunication_Low,telecommunication_Close,telecommunication_Adj Close,telecommunication_Volume,telecommunication_log_return,telecommunication_realized_volatility
2018-07-18,7310.71,7599.98,7239.15,7374.88,13347.87638,8.905834909889203,51.59000015258789,51.59999847412109,51.22999954223633,51.400001525878906,48.795040130615234,147800,-0.0029139935155004792,0.5320737720717363
2018-07-19,7384.92,7570.9,7278.84,7471.42,8803.253097,8.91884035376951,51.43000030517578,51.470001220703125,51.00600051879883,51.040000915527344,48.45329666137695,258400,-0.007028545173497047,0.5165220890452074
2018-07-20,7474.35,7696.88,7265.0,7330.84,9379.171432,8.899845385859239,51.04999923706055,51.18600082397461,50.84000015258789,50.869998931884766,48.29190826416016,158400,-0.003336319136266308,0.5124078878432831
2018-07-23,7393.5,7800.0,7369.86,7719.62,12572.45317,8.951520419009412,50.93000030517578,51.09999847412109,50.650001525878906,51.08000183105469,48.49127197265625,94800,0.0041197291734249575,0.5120829031280683
2018-07-24,7712.46,8496.96,7691.14,8403.83,18707.41156,9.036442833297656,52.11000061035156,52.11000061035156,51.15999984741211,51.43999862670898,48.83301544189453,211200,0.0070229862212745076,0.44864886842586993
2018-07-25,8394.48,8475.0,8049.22,8174.06,10348.06858,9.008721004444725,51.52999877929688,51.875,51.380001068115234,51.810001373291016,49.18427276611328,604300,0.0071671541005740025,0.4571708315112632
2018-07-26,8174.06,8314.23,7855.97,7926.0,8091.87166,8.97790377375038,49.75,50.02000045776367,49.56999969482422,49.85599899291992,47.32930755615234,833400,-0.038444377284483355,0.6568599409381864
2018-07-27,7926.0,8274.98,7798.48,8183.05,8701.765878,9.009820220737238,49.77000045776367,49.83000183105469,48.63800048828125,48.90999984741211,46.431243896484375,1111200,-0.019156958617009057,0.688529608409743
2018-07-30,8216.74,8295.0,7853.01,8160.21,11785.89208,9.007025182921124,49.02000045776367,49.02000045776367,47.86899948120117,48.13999938964844,45.70026779174805,251300,-0.01586845175524898,0.7168105184366893
2018-07-31,8162.28,8162.37,7633.67,7725.43,11994.08614,8.952272763647215,48.369998931884766,48.77000045776367,48.13999938964844,48.459999084472656,46.004051208496094,1211400,0.006625276819697934,0.7173601052742569
2018-08-01,7726.85,7761.56,7440.0,7602.01,11406.76844,8.936167964991633,48.560001373291016,48.77899932861328,48.11899948120117,48.2599983215332,45.814186096191406,1250400,-0.004135671078729253,0.7023138170393856
2018-08-02,7600.22,7709.98,7455.0,7536.37,5262.236132,8.927495912715491,48.09000015258789,48.65999984741211,47.900001525878906,48.58000183105469,46.11796188354492,190700,0.006608935848342323,0.6810913945218907
2018-08-03,7535.0,7542.92,7286.41,7416.98,9585.779309,8.9115272452249,48.09000015258789,48.93000030517578,48.09000015258789,48.90999984741211,46.431243896484375,117200,0.006769910165937976,0.6573545917427476
2018-08-06,7028.89,7157.93,6835.06,6936.11,7317.642965,8.84449637761951,48.90999984741211,49.40999984741211,48.81999969482422,49.400001525878906,46.89641189575195,110200,0.00996858365061648,0.665387817508664
2018-08-07,6932.18,7155.0,6671.0,6717.68,10039.39296,8.812498135813566,49.68000030517578,49.79899978637695,49.41999816894531,49.459999084472656,46.9533576965332,128800,0.0012137885006966442,0.6655433724771327
2018-08-08,6717.67,6717.68,6121.0,6283.59,14668.56802,8.745696752180123,49.54999923706055,49.59999847412109,49.358001708984375,49.41999816894531,46.91538619995117,114200,-0.0008090800732305503,0.6654031511448659
2018-08-09,6283.89,6627.0,6190.01,6543.76,9484.886705,8.78626720279342,49.459999084472656,49.8849983215332,49.459999084472656,49.68999862670898,47.17171096801758,306400,0.005448514467478294,0.6395070113431619
2018-08-10,6544.98,6584.05,5995.75,6139.99,14096.00989,8.722578392475366,49.52999877929688,49.52999877929688,49.150001525878906,49.27000045776367,46.77299118041992,177600,-0.00848829213026514,0.6480959320201847
2018-08-13,6311.99,6544.37,6142.2,6252.63,8896.680837,8.740757454218956,49.33000183105469,49.61000061035156,49.16999816894531,49.20000076293945,46.70654296875,261000,-0.0014217468416308776,0.647308631160265
2018-08-14,6252.63,6254.02,5880.0,6193.62,14235.27018,8.731275008957928,49.43999862670898,49.630001068115234,49.11000061035156,49.54999923706055,47.0388069152832,189800,0.007088606373469641,0.6534370031419644
