Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,information_Open,information_High,information_Low,information_Close,information_Adj Close,information_Volume,information_log_return,information_realized_volatility
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86044,9.655026834263063,64.81999969482422,64.93000030517578,64.5199966430664,64.58000183105469,60.35613632202149,15941900,-0.002010941237609032,0.4477030349379868
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.8858,9.547511649925351,64.47000122070312,64.5999984741211,64.37000274658203,64.54000091552734,60.318748474121094,5485500,-0.0006195928741661305,0.44218265979046734
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16402,9.665512049622908,64.13999938964844,64.18000030517578,63.880001068115234,64.11000061035156,59.91687774658203,6219100,-0.006684833289694936,0.4501333270509491
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488,9.63984291874555,64.12000274658203,64.30000305175781,64.06999969482422,64.18000030517578,59.982295989990234,5346600,0.0010912729171632662,0.44847702917969023
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732,9.579837657208852,64.37000274658203,64.41000366210938,64.18000030517578,64.29000091552734,60.085105895996094,9658000,0.0017124719574734826,0.34974040982138094
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299,9.57080811415361,64.33000183105469,64.3499984741211,63.900001525878906,63.95000076293945,59.76734924316406,6693200,-0.005302572439081388,0.33831656560568957
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.6693,9.594169092476982,64.20999908447266,64.73999786376953,64.05000305175781,64.73999786376953,60.50566864013672,13722800,0.012277675545924183,0.36623160344234745
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.0012,9.626126699245653,64.86000061035156,65.31999969482422,64.79000091552734,65.27999877929688,61.01034927368164,11331800,0.008306476455329559,0.321655241348179
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859,9.625337901843494,65.54000091552734,65.77999877929688,65.38999938964844,65.61000061035156,61.31877899169922,10746600,0.005042440703152629,0.32784524937894266
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91468,9.736724334658026,65.94999694824219,66.36000061035156,65.81999969482422,66.30000305175781,61.96363830566406,9678000,0.010461810561837481,0.34409196993144975
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994,9.615804813417459,66.2699966430664,66.66999816894531,66.2300033569336,66.55000305175781,62.19728088378906,6733900,0.003763647476390908,0.33850308062792805
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469,9.575227205861887,66.68000030517578,66.69999694824219,66.2699966430664,66.37999725341797,62.03840255737305,10606400,-0.002557825782558254,0.3347744106386034
2018-01-10,14403.51,14900.0,13412.0,14890.02,18479.01253,9.608446468860498,66.0199966430664,66.16999816894531,65.83000183105469,66.1500015258789,61.823455810546875,10407800,-0.003470851287261212,0.3197114598118513
