timestamp,value
1230940800,0
1231027200,0
1231113600,0
1231200000,0
1231286400,0
1231372800,0
1231459200,0
1231545600,1
1231632000,1
1231718400,1
1231804800,1
1231891200,1
1231977600,1
1232064000,1
1232150400,1
1232236800,1
1232323200,2
1232409600,2
1232496000,2
1232582400,2
1232668800,2
1232755200,3
1232841600,4
1232928000,3
1233014400,3
1233100800,3
1233187200,3
1233273600,3
1233360000,3
1233446400,4
1233532800,5
1233619200,5
1233705600,5
1233792000,5
1233878400,6
1233964800,7
1234051200,7
1234137600,6
1234224000,6
1234310400,6
1234396800,6
1234483200,6
1234569600,8
1234656000,8
1234742400,8
1234828800,10
1234915200,10
1235001600,10
1235088000,10
1235174400,10
1235260800,11
1235347200,11
1235433600,11
1235520000,11
1235606400,11
1235692800,10
1235779200,10
1235865600,10
1235952000,10
1236038400,12
1236124800,11
1236211200,11
1236297600,11
1236384000,12
1236470400,12
1236556800,12
1236643200,12
1236729600,12
1236816000,12
1236902400,12
1236988800,13
1237075200,13
1237161600,12
1237248000,12
1237334400,12
1237420800,12
1237507200,12
1237593600,13
1237680000,14
1237766400,15
1237852800,15
1237939200,16
1238025600,15
1238112000,15
1238198400,16
1238284800,16
1238371200,16
1238457600,15
1238544000,15
1238630400,15
1238716800,16
1238803200,17
1238889600,17
1238976000,17
1239062400,18
1239148800,19
1239235200,20
1239321600,20
1239408000,20
1239494400,20
1239580800,20
1239667200,20
1239753600,20
1239840000,20
1239926400,21
1240012800,21
1240099200,21
1240185600,20
1240272000,21
1240358400,21
1240444800,21
1240531200,23
1240617600,23
1240704000,23
1240790400,23
1240876800,25
1240963200,26
1241049600,26
1241136000,26
1241222400,29
1241308800,29
1241395200,28
1241481600,28
1241568000,28
1241654400,28
1241740800,28
1241827200,29
1241913600,30
1242000000,31
1242086400,31
1242172800,31
1242259200,31
1242345600,31
1242432000,31
1242518400,31
1242604800,33
1242691200,34
1242777600,34
1242864000,34
1242950400,34
1243036800,34
1243123200,34
1243209600,34
1243296000,34
1243382400,34
1243468800,34
1243555200,33
1243641600,34
1243728000,35
1243814400,35
1243900800,35
1243987200,35
1244073600,35
1244160000,35
1244246400,35
1244332800,35
1244419200,35
1244505600,35
1244592000,35
1244678400,35
1244764800,35
1244851200,35
1244937600,36
1245024000,36
1245110400,36
1245196800,36
1245283200,37
1245369600,38
1245456000,38
1245542400,38
1245628800,37
1245715200,37
1245801600,38
1245888000,37
1245974400,37
1246060800,37
1246147200,39
1246233600,39
1246320000,39
1246406400,39
1246492800,39
1246579200,39
1246665600,39
1246752000,39
1246838400,39
1246924800,39
1247011200,39
1247097600,40
1247184000,41
1247270400,41
1247356800,43
1247443200,43
1247529600,43
1247616000,43
1247702400,43
1247788800,43
1247875200,43
1247961600,43
1248048000,44
1248134400,44
1248220800,44
1248307200,44
1248393600,44
1248480000,44
1248566400,44
1248652800,44
1248739200,44
1248825600,44
1248912000,45
1248998400,46
1249084800,46
1249171200,46
1249257600,46
1249344000,46
1249430400,46
1249516800,46
1249603200,45
1249689600,47
1249776000,47
1249862400,48
1249948800,48
1250035200,48
1250121600,48
1250208000,48
1250294400,48
1250380800,48
1250467200,48
1250553600,48
1250640000,48
1250726400,48
1250812800,49
1250899200,49
1250985600,49
1251072000,49
1251158400,50
