timestamp,value
1230940800,0
1231027200,0
1231113600,0
1231200000,0
1231286400,0
1231372800,0
1231459200,0
1231545600,0
1231632000,0
1231718400,8
1231804800,0
1231891200,4
1231977600,14
1232064000,6
1232150400,0
1232236800,4
1232323200,18
1232409600,9
1232496000,3
1232582400,11
1232668800,11
1232755200,11
1232841600,2
1232928000,21
1233014400,4
1233100800,0
1233187200,13
1233273600,0
1233360000,21
1233446400,3
1233532800,2
1233619200,15
1233705600,0
1233792000,0
1233878400,0
1233964800,27
1234051200,2
1234137600,45
1234224000,0
1234310400,16
1234396800,0
1234483200,0
1234569600,0
1234656000,14
1234742400,31
1234828800,0
1234915200,0
1235001600,17
1235088000,0
1235174400,0
1235260800,12
1235347200,0
1235433600,0
1235520000,0
1235606400,0
1235692800,37
1235779200,8
1235865600,0
1235952000,0
1236038400,9
1236124800,26
1236211200,9
1236297600,0
1236384000,0
1236470400,27
1236556800,0
1236643200,0
1236729600,0
1236816000,4
1236902400,14
1236988800,0
1237075200,0
1237161600,49
1237248000,0
1237334400,15
1237420800,0
1237507200,13
1237593600,0
1237680000,12
1237766400,0
1237852800,0
1237939200,0
1238025600,29
1238112000,0
1238198400,21
1238284800,0
1238371200,0
1238457600,33
1238544000,0
1238630400,0
1238716800,0
1238803200,0
1238889600,18
1238976000,0
1239062400,0
1239148800,0
1239235200,0
1239321600,0
1239408000,8
1239494400,9
1239580800,2
1239667200,0
1239753600,0
1239840000,0
1239926400,0
1240012800,5
1240099200,9
1240185600,117
1240272000,2
1240358400,0
1240444800,0
1240531200,0
1240617600,0
1240704000,16
1240790400,0
1240876800,0
1240963200,21
1241049600,0
1241136000,0
1241222400,16
1241308800,4
1241395200,31
1241481600,11
1241568000,0
1241654400,0
1241740800,0
1241827200,0
1241913600,0
1242000000,3
1242086400,0
1242172800,6
1242259200,6
1242345600,11
1242432000,0
1242518400,0
1242604800,0
1242691200,0
1242777600,0
1242864000,0
1242950400,0
1243036800,0
1243123200,0
1243209600,0
1243296000,0
1243382400,0
1243468800,0
1243555200,61
1243641600,0
1243728000,0
1243814400,2
1243900800,0
1243987200,0
1244073600,0
1244160000,0
1244246400,0
1244332800,0
1244419200,0
1244505600,0
1244592000,0
1244678400,0
1244764800,0
1244851200,0
1244937600,0
1245024000,0
1245110400,0
1245196800,0
1245283200,0
1245369600,0
1245456000,0
1245542400,0
1245628800,61
1245715200,0
1245801600,5
1245888000,21
1245974400,0
1246060800,0
1246147200,2
1246233600,2
1246320000,4
1246406400,3
1246492800,2
1246579200,0
1246665600,0
1246752000,0
1246838400,0
1246924800,0
1247011200,0
1247097600,0
1247184000,0
1247270400,0
1247356800,0
1247443200,0
1247529600,0
1247616000,0
1247702400,0
1247788800,0
1247875200,0
1247961600,0
1248048000,122
1248134400,0
1248220800,0
1248307200,0
1248393600,0
1248480000,0
1248566400,0
1248652800,0
1248739200,0
1248825600,3
1248912000,2
1248998400,0
1249084800,0
1249171200,0
1249257600,0
1249344000,0
1249430400,0
1249516800,0
1249603200,112
1249689600,0
1249776000,0
1249862400,0
1249948800,0
1250035200,0
1250121600,0
1250208000,0
1250294400,0
1250380800,0
1250467200,0
1250553600,0
1250640000,0
1250726400,0
1250812800,0
1250899200,0
1250985600,0
1251072000,0
1251158400,0
