step,train_loss,epoch
49,0.7693438529968262,0
99,0.6178807020187378,1
149,0.5040057301521301,2
199,0.4970797598361969,3
249,0.5077246427536011,4
299,0.5162707567214966,5
349,0.4712541997432709,6
399,0.44275185465812683,7
449,0.4635794460773468,8
499,0.46169787645339966,9
549,0.45231395959854126,10
599,0.46592819690704346,11
649,0.4320965111255646,12
699,0.4589058756828308,13
749,0.4270026683807373,14
799,0.4563431441783905,15
849,0.44157618284225464,16
899,0.45544323325157166,17
949,0.3932856023311615,18
999,0.396626740694046,19
1049,0.3893790543079376,20
1099,0.41078177094459534,21
1149,0.4156240224838257,22
1199,0.36818990111351013,23
1249,0.3603631556034088,24
1299,0.3626982867717743,25
1349,0.3723739683628082,26
1399,0.384373277425766,27
1449,0.3987008333206177,28
1499,0.35341107845306396,29
1549,0.35350489616394043,30
1599,0.32172873616218567,31
1649,0.3285391628742218,32
1699,0.2941902279853821,33
1749,0.323760062456131,34
1799,0.3173713982105255,35
1849,0.2947819232940674,36
1899,0.29639914631843567,37
1949,0.27892306447029114,38
1999,0.2823825180530548,39
2049,0.29406285285949707,40
2099,0.28879767656326294,41
2149,0.28183117508888245,42
2199,0.28890904784202576,43
2249,0.2922879755496979,44
2299,0.23988458514213562,45
2349,0.2375037968158722,46
2399,0.23027721047401428,47
2449,0.25504928827285767,48
2499,0.238576278090477,49
2549,0.25782373547554016,50
2599,0.232224240899086,51
2649,0.28262707591056824,52
2699,0.25102606415748596,53
2749,0.21392765641212463,54
2799,0.2415294200181961,55
2849,0.22790493071079254,56
2899,0.2579996585845947,57
2949,0.22324338555335999,58
2999,0.21054990589618683,59
3049,0.22707542777061462,60
3099,0.20248936116695404,61
3149,0.2082350105047226,62
3199,0.20227597653865814,63
3249,0.2072611302137375,64
3299,0.1795063614845276,65
3349,0.18500255048274994,66
3399,0.19843007624149323,67
3449,0.17770308256149292,68
3499,0.18845482170581818,69
3549,0.21880172193050385,70
3599,0.17699895799160004,71
3649,0.17584580183029175,72
3699,0.19530801475048065,73
3749,0.189152792096138,74
3799,0.18769535422325134,75
3849,0.18948125839233398,76
3899,0.16233517229557037,77
3949,0.22182588279247284,78
3999,0.16161176562309265,79
4049,0.22789143025875092,80
4099,0.17122679948806763,81
4149,0.1838417649269104,82
4199,0.16651421785354614,83
4249,0.17762142419815063,84
4299,0.18782511353492737,85
4349,0.19938358664512634,86
4399,0.16310757398605347,87
4449,0.16393792629241943,88
4499,0.15212714672088623,89
4549,0.16323748230934143,90
4599,0.15515293180942535,91
4649,0.1730426847934723,92
4699,0.1473478376865387,93
4749,0.15784281492233276,94
4799,0.17476209998130798,95
4849,0.18602468073368073,96
4899,0.1406211405992508,97
4949,0.1557847261428833,98
4999,0.16444751620292664,99
5049,0.14273087680339813,100
5099,0.1518944501876831,101
5149,0.1350439488887787,102
5199,0.16168034076690674,103
5249,0.16347092390060425,104
5299,0.16368748247623444,105
5349,0.13086234033107758,106
5399,0.1343565136194229,107
5449,0.1486678272485733,108
5499,0.19619376957416534,109
5549,0.15401864051818848,110
5599,0.1494932621717453,111
5649,0.14378699660301208,112
5699,0.15760642290115356,113
5749,0.14599202573299408,114
5799,0.12843440473079681,115
5849,0.1367737054824829,116
5899,0.12295913696289062,117
5949,0.13931310176849365,118
5999,0.16688784956932068,119
6049,0.11807585507631302,120
6099,0.14461271464824677,121
6149,0.13447953760623932,122
6199,0.13094598054885864,123
6249,0.1175030916929245,124
6299,0.12063649296760559,125
6349,0.13561536371707916,126
6399,0.14997334778308868,127
6449,0.187059685587883,128
6499,0.13507212698459625,129
6549,0.14663296937942505,130
6599,0.1435404270887375,131
6649,0.14603006839752197,132
6699,0.12801863253116608,133
6749,0.13180191814899445,134
6799,0.11099161952733994,135
6849,0.15368114411830902,136
6899,0.11873345077037811,137
6949,0.14145852625370026,138
6999,0.10919708013534546,139
7049,0.13911759853363037,140
7099,0.11323292553424835,141
7149,0.1262167990207672,142
7199,0.10671284794807434,143
7249,0.1348675787448883,144
7299,0.13637544214725494,145
7349,0.15071769058704376,146
7399,0.15278777480125427,147
7449,0.12253028899431229,148
7499,0.12928761541843414,149
7549,0.123245008289814,150
7599,0.1309700906276703,151
7649,0.11567211151123047,152
7699,0.1036415547132492,153
7749,0.1319587081670761,154
7799,0.11661893129348755,155
7849,0.10997546464204788,156
7899,0.10500500351190567,157
7949,0.15356950461864471,158
7999,0.11473053693771362,159
8049,0.1325996369123459,160
8099,0.10127363353967667,161
8149,0.09629545360803604,162
8199,0.10990531742572784,163
8249,0.09899166226387024,164
8299,0.12984201312065125,165
8349,0.12184444069862366,166
8399,0.11282810568809509,167
8449,0.11287440359592438,168
8499,0.1112251952290535,169
8549,0.11041799187660217,170
8599,0.14051681756973267,171
8649,0.11614016443490982,172
8699,0.14356306195259094,173
8749,0.11977944523096085,174
8799,0.12750022113323212,175
8849,0.09847885370254517,176
8899,0.08151644468307495,177
8949,0.11152220517396927,178
8999,0.08192767202854156,179
9049,0.11377618461847305,180
9099,0.078968346118927,181
9149,0.08036470413208008,182
9199,0.08474510163068771,183
9249,0.0833016112446785,184
9299,0.1259932965040207,185
9349,0.11356080323457718,186
9399,0.0954873338341713,187
9449,0.09215126931667328,188
9499,0.08283665776252747,189
9549,0.09764283150434494,190
9599,0.07924003899097443,191
9649,0.12574082612991333,192
9699,0.13669519126415253,193
9749,0.07607930898666382,194
9799,0.10522405803203583,195
9849,0.13546700775623322,196
9899,0.08851704001426697,197
9949,0.11762243509292603,198
9999,0.09019232541322708,199
